,combination_id,avg_zip_score,avg_bliss_score,avg_loewe_score,avg_hsa_score
0,(+)-jq1_(+)-jq1,6.759375,6.614375,-0.45249999999999996,0.7487499999999999
1,(+)-jq1_1-(4-fluor,1.3,-1.19,-8.01,-7.5
2,(+)-jq1_1088965-37,0.2650000000000001,-2.5549999999999997,-8.925,-6.145
3,(+)-jq1_117048-62-,0.47,0.25,-0.16,0.35
4,(+)-jq1_2-methoxy-,9.56,11.43,-2.76,0.6
5,(+)-jq1_200484-11-,7.1,6.73,-2.8249999999999997,2.92
6,(+)-jq1_315703-52-,11.65,11.93,2.2,6.84
7,(+)-jq1_35922-06-6,8.67,10.21,6.38,6.85
8,(+)-jq1_451492-95-,5.2,5.11,1.27,3.86
9,(+)-jq1_717906-29-,-1.02,-2.79,-13.48,-3.86
10,(+)-jq1_853910-02-,5.96,5.44,-12.76,0.07
11,(+)-jq1_866323-14-,6.75,3.79,-3.87,-0.04
12,(+)-jq1_942183-80-,3.99,4.093333333333334,3.0500000000000003,3.8366666666666664
13,(+)-jq1_952021-60-,-2.44,-1.18,-8.29,-3.92
14,(+)-jq1_a-769662,6.65,5.49,-29.05,-2.26
15,(+)-jq1_a77 1726,4.0,9.74,-3.78,6.42
16,(+)-jq1_abemacicli,-6.26,-7.63,-10.3,-1.9
17,(+)-jq1_ac1l2qk3,8.6575,8.07875,-1.0,1.6775
18,(+)-jq1_aee788 (nv,9.02,9.3,-16.69,0.09
19,(+)-jq1_ak-77283,0.9041666666666668,0.9433333333333331,-5.631666666666667,-0.7933333333333333
20,(+)-jq1_ak170455,7.970000000000001,6.615,-5.175,1.755
21,(+)-jq1_alisertib ,8.65,7.31,-14.53,5.19
22,(+)-jq1_alvespimyc,-8.35,-5.97,-1.79,1.19
23,(+)-jq1_aprepitant,13.16,9.54,-16.42,-6.3
24,(+)-jq1_at7519,9.93,10.04,-0.59,3.905
25,(+)-jq1_az 3146,6.38,12.7,-24.53,0.07
26,(+)-jq1_azd3965,-3.61,1.65,-8.64,0.53
27,(+)-jq1_azd6482,9.38,8.63,-15.46,-4.41
28,(+)-jq1_azd7762,5.883333333333333,5.803333333333332,3.06,6.806666666666668
29,(+)-jq1_bafilomyci,3.78,4.72,4.98,6.69
30,(+)-jq1_bay-876,4.15,9.61,-1.85,3.8
31,(+)-jq1_beta-narco,-4.11,-4.34,-11.65,-7.01
32,(+)-jq1_bez-235,4.8149999999999995,5.800000000000001,5.4475,7.0975
33,(+)-jq1_bgt-226 fr,4.73,4.14,0.0,7.15
34,(+)-jq1_bi 2536,5.35,4.36,-1.73,0.66
