Drug1,Drug2,Cell line,ZIP,Bliss,Loewe,HSA,classification,combination_id,chemical_1,chemical_2,z_score_sum,min_max_score_sum,degree_centrality_1,degree_centrality_2,clustering_1,clustering_2,pagerank_1,pagerank_2,closeness_1,closeness_2,betweenness_1,betweenness_2
(+)-jq1,camptothecin,U-HO1,8.72,6.88,-3.46,1.57,synergy,(+)-jq1_camptothec,CIDs46907787,CIDs00024360,-0.0260830414614698,0.0095093201211129,0.045662100456621,0.21537290715372906,0.864406779661017,0.5877001729193294,0.0005252821544637384,0.0017983359306503147,0.49847908833334487,0.5553213413056508,5.918545831355392e-05,0.00048539684518350275
(+)-jq1,zolinza,DIPG25,-12.01,-9.39,-2.1,-0.51,antagonism,(+)-jq1_zolinza,CIDs46907787,CIDs00005311,-0.1382510926553034,0.0133488134200685,0.045662100456621,0.2450532724505327,0.864406779661017,0.5134382074650259,0.0005252821544637384,0.002087625133332772,0.49847908833334487,0.5668554929208266,5.918545831355392e-05,0.0015907619413418742
117048-62-1,chloroquine,TC-32,5.3,6.84,-2.85,-0.61,antagonism,117048-62-_chloroquin,CIDs00219078,CIDs00002719,0.4253147901708251,0.0096912412233697,0.00989345509893455,0.27321156773211563,0.782051282051282,0.4774124274443286,0.00021643264438954,0.002280009512247546,0.4407816433849362,0.5755725150000133,6.641203050014759e-06,0.0013004227294782715
2-methoxyestradiol,camptothecin,TC-71,9.577,9.249,-4.398,-0.576,antagonism,2-methoxye_camptothec,CIDs00066414,CIDs00024360,0.4220086080174851,0.0107826214592903,0.0943683409436834,0.21537290715372906,0.8015997901914503,0.5877001729193294,0.0008695732602589589,0.0017983359306503147,0.5188130867881309,0.5553213413056508,0.00013464090935550788,0.00048539684518350275
200484-11-3,cycloheximide,U-HO1,-10.58,-11.74,-1.13,0.66,antagonism,200484-11-_cyclohexim,CIDs00008515,CIDs00006197,4.787840646697088,0.0735461816225085,0.3356164383561644,0.3911719939117199,0.3830756545042259,0.32473206362209023,0.0028393578242892426,0.0033430801630981353,0.5984481700045822,0.6190940662287479,0.0027182425777088947,0.003470162673921696
200484-11-3,zolinza,DIPG25,-4.92,-5.28,-3.93,-1.54,antagonism,200484-11-_zolinza,CIDs00008515,CIDs00005311,2.9909546894660424,0.0392264043841753,0.3356164383561644,0.2450532724505327,0.3830756545042259,0.5134382074650259,0.0028393578242892426,0.002087625133332772,0.5984481700045822,0.5668554929208266,0.0027182425777088947,0.0015907619413418742
5-fu,amifostine,786-0,3.67,4.51,-12.22,3.5,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,A498,0.78,0.71,-11.6,0.6,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,A549,3.51,1.38,-18.14,0.78,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,ACHN,0.42,-1.93,-18.66,-1.38,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,BT-549,-1.77,1.84,-0.4,1.61,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,CAKI-1,-3.37,-4.88,-4.49,-0.97,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,CCRF-CEM,-2.63,-2.42,1.47,3.44,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,COLO 205,2.76,2.15,-12.19,2.83,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,DU-145,1.46,0.58,-12.57,0.68,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,EKVX,-2.76,4.34,-8.1,-2.33,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HCC-2998,2.83,3.71,-4.07,3.19,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HCT-15,6.17,3.83,-14.13,3.44,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HCT116,-0.9,-4.0,-5.51,-1.07,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HL-60(TB),-7.4,-0.87,-4.54,1.5,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HOP-62,0.91,1.62,-9.55,1.84,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HOP-92,-1.85,0.31,-10.92,-0.74,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HS 578T,1.66,7.2,4.18,7.29,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,HT29,3.58,1.7,-1.84,2.56,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
